ROLES,PAYMENT
ARCHITECT,REFACTORING
ARCHITECT,IMPROVE DESIGN
ARCHITECT,ADOPTION OF GOOD PRACTICES
ARCHITECT,CODE REVIEWING
ARCHITECT,IMPROVE TESTING
ARCHITECT,REPAYMENT ACTIVITIES
ARCHITECT,BUDGET INCREASE
ARCHITECT,EXTERNAL TOOLS
ARCHITECT,IMPROVE COMMUNICATION
ARCHITECT,ARCHITECTURAL CHANGES
ARCHITECT,BACKLOG INCLUSION
ARCHITECT,IMPROVEMENT IN REQUIREMENT ELICITATION
ARCHITECT,SYSTEM RETIREMENT
ARCHITECT,TECHNOLOGY INDEPENDENT IMPLEMENTATION
ARCHITECT,TECHNOLOGY/TOOL/PLATFORM CHANGE
ARCHITECT,TO MAKE DEFECT FREE SYSTEM
MANAGEMENT,REFACTORING
MANAGEMENT,TIME EXTENSION
MANAGEMENT,ADOPTION OF GOOD PRACTICES
MANAGEMENT,IMPROVE DESIGN
MANAGEMENT,REPAYMENT ACTIVITIES
MANAGEMENT,BUDGET INCREASE
MANAGEMENT,IMPROVE DOCUMENTATION
MANAGEMENT,MANAGEMENT ACTIONS
MANAGEMENT,PROJECT SCOPE CHANGE
MANAGEMENT,WELL-DEFINED PROCESS
MANAGEMENT,DEFINITION OF SPRINTS FOR THE PAYMENT OF DT
MANAGEMENT,IMPROVE TESTING
MANAGEMENT,PRIORITIZATION
MANAGEMENT,TECHNOLOGY/TOOL/PLATFORM CHANGE
MANAGEMENT,ADEQUATE IMPACT AND RISK ANALYSIS
MANAGEMENT,APPROACHING THE CLIENT WITH THE DEVELOPMENT TEAM
MANAGEMENT,ARCHITECTURAL CHANGES
MANAGEMENT,CHANGE OF PROJECT MANAGEMENT
MANAGEMENT,CHECKLIST FOR THE VERIFICATION OF BUSINESS RULES
MANAGEMENT,CONTROL AND MONITORING
MANAGEMENT,CORRECTIVE MAINTENANCE OF ARTIFACTS
MANAGEMENT,DIVISION OF WORK LOTS
MANAGEMENT,MEASUREMENT BULLETINS
MANAGEMENT,SIDE PROJECT
MANAGEMENT,SOLVING PROBLEMS RELATED TO SECURITY
MANAGEMENT,STARTING THE PROJECT FROM SCRATCH
ENGINEER,REFACTORING
ENGINEER,REPAYMENT ACTIVITIES
ENGINEER,IMPROVE TESTING
ENGINEER,IMPROVE DOCUMENTATION
ENGINEER,TIME EXTENSION
ENGINEER,ADOPTION OF GOOD PRACTICES
ENGINEER,IMPROVE DESIGN
ENGINEER,MANAGEMENT ACTIONS
ENGINEER,CI/CD
ENGINEER,IMPROVEMENT IN REQUIREMENT ELICITATION
ENGINEER,TECHNOLOGY/TOOL/PLATFORM CHANGE
ENGINEER,BUDGET INCREASE
ENGINEER,CODE REVIEWING
ENGINEER,DEFINITION OF SPRINTS FOR THE PAYMENT OF DT
ENGINEER,DEVOPS
ENGINEER,PRIORITIZATION
ENGINEER,PROJECT SCOPE CHANGE
ENGINEER,ADEQUATE IMPACT AND RISK ANALYSIS
ENGINEER,APPROACHING THE CLIENT WITH THE DEVELOPMENT TEAM
ENGINEER,BACKLOG INCLUSION
ENGINEER,CHANGE OF PROJECT MANAGEMENT
ENGINEER,CONTINUOS LEARNING
ENGINEER,CONTINUOUS IMPROVEMENT OF APPLICATIONS
ENGINEER,EXTERNAL TOOLS
ENGINEER,HIRING QUALIFIED PROFESSIONALS
ENGINEER,IMPLEMENTING PREVENTIVE ACTIONS FOR REDUCTION THE OCCURENCE OF SPECIFIC TD ITEM
ENGINEER,ORGANISATION OF THE PROJECT REPOSITORY
ENGINEER,RESTORE LOST DATA FROM BACKUP
ENGINEER,STARTING THE PROJECT FROM SCRATCH
ENGINEER,SWITCHING SOFTWARE SOLUTIONS
ENGINEER,TEAM COLLABORATION
ENGINEER,USE OF MODELS